x,y,value
197,313,0.010473599657416344
198,313,0.014630545862019062
199,313,0.012435675598680973
200,313,0.01784343086183071
201,313,0.0073767355643212795
202,313,0.0033546655904501677
203,313,0.004519610200077295
204,313,0.013229798525571823
205,313,0.019475538283586502
206,313,0.015154843218624592
207,313,0.022296734154224396
208,313,0.01366572454571724
209,313,0.003923092037439346
210,313,0.00046924041816964746
211,313,0.008519106544554234
212,313,0.006315904203802347
213,313,0
214,313,0
215,313,0.011276612989604473
216,313,0.0034781915601342916
217,313,0.0006375269149430096
218,313,0
219,313,0
220,313,0
221,313,0
222,313,0
223,313,0
224,313,0
225,313,0
226,313,0
227,313,0
228,313,0
229,313,0
230,313,0
231,313,0
232,313,0
233,313,0
234,313,0
235,313,0
236,313,0.0014638610882684588
237,313,0
238,313,0
197,314,0.024995993822813034
198,314,0
199,314,0.026294710114598274
200,314,0.02105572447180748
201,314,0.017003195360302925
202,314,0.0016015226719900966
203,314,0.014747459441423416
204,314,0.019730936735868454
205,314,0
206,314,0.014495763927698135
207,314,0.024977214634418488
208,314,0.014038210734724998
209,314,0
210,314,0
211,314,0.003570178523659706
212,314,0.01737341843545437
213,314,0
214,314,0
215,314,0.003145008347928524
216,314,0
217,314,0
218,314,0
219,314,0
220,314,0
221,314,0
222,314,0
223,314,0
224,314,0
225,314,0
226,314,0
227,314,0
228,314,0
229,314,0
230,314,0.004568173550069332
231,314,0
232,314,0
233,314,0
234,314,0
235,314,0
236,314,0
237,314,0
238,314,0
197,315,0.029632776975631714
198,315,0.02190965972840786
199,315,0.011930652894079685
200,315,0.01994897425174713
201,315,0.0027441743295639753
202,315,0.007569442503154278
203,315,0.023429663851857185
204,315,0.02509959228336811
205,315,0
206,315,0.0019082577200606465
207,315,0.013635726645588875
208,315,0.0034668867010623217
209,315,0.0074882227927446365
210,315,0
211,315,0
212,315,0
213,315,0.004815049935132265
214,315,0.006356352008879185
215,315,0.0009406340541318059
216,315,0.000123406236525625
217,315,0
218,315,0
219,315,0
220,315,0
221,315,0
222,315,0
223,315,0
224,315,0
225,315,0.0007463942747563124
226,315,0
227,315,0
228,315,0
229,315,0
230,315,0.004409866873174906
231,315,0
232,315,0
233,315,0
234,315,0
235,315,0
236,315,0
237,315,0
238,315,0
197,316,0.005077012814581394
198,316,0.03350787237286568
199,316,0.01544116623699665
200,316,0.0068082911893725395
201,316,0.011603083461523056
202,316,0
203,316,0.007215629331767559
204,316,0.003020661184564233
205,316,0.016864363104104996
206,316,0.015240508131682873
207,316,0
208,316,0.0035458789207041264
209,316,0.01174855139106512
210,316,0
211,316,0
212,316,0
213,316,0
214,316,0.010578947141766548
215,316,0
216,316,0
217,316,0
