x,y,value
190,282,0.07658515870571136
191,282,0.08078238368034363
192,282,0.03186522796750069
193,282,0.042789265513420105
194,282,0.024961037561297417
195,282,0.019942132756114006
196,282,0.04231428727507591
197,282,0.034533850848674774
198,282,0.012300758622586727
199,282,0.04945766180753708
200,282,0.08331980556249619
201,282,0.04953965172171593
202,282,0.04189644381403923
203,282,0.04452500492334366
204,282,0.039148300886154175
205,282,0.034255508333444595
206,282,0.02431499771773815
207,282,0.0018584436038509011
208,282,0
209,282,0.0006727126310579479
210,282,0.009389542043209076
211,282,0
212,282,0.010435972362756729
213,282,0.016702787950634956
214,282,0.01479572057723999
215,282,0.013858715072274208
216,282,0.004361393395811319
217,282,0.013743080198764801
218,282,0.01311050821095705
219,282,0.004069802351295948
220,282,0.018633969128131866
221,282,0.028439734131097794
222,282,0
223,282,0.017186714336276054
224,282,0
225,282,0.003327790414914489
226,282,0.0090801902115345
227,282,0
228,282,0.004169022664427757
229,282,0.0021127567160874605
230,282,0
231,282,0
232,282,0
233,282,0.006975209806114435
234,282,0
235,282,0
236,282,0.004177159164100885
237,282,0
238,282,0
239,282,0
240,282,0
241,282,0
242,282,0
243,282,0
244,282,0
245,282,0
246,282,0
247,282,0
248,282,0.008534526452422142
249,282,0
250,282,0
190,283,0.05615157634019852
191,283,0.04474704712629318
192,283,0.04013722389936447
193,283,0.024772046133875847
194,283,0.010515627451241016
195,283,0.02429976314306259
196,283,0.04068007320165634
197,283,0.02151845023036003
198,283,0.03253369778394699
199,283,0.056312091648578644
200,283,0.06206035241484642
201,283,0.07580117881298065
202,283,0.03583366423845291
203,283,0.034471429884433746
204,283,0.004740465432405472
205,283,0.06819936633110046
206,283,0
207,283,0
208,283,0
209,283,0
210,283,0
211,283,0.029957495629787445
212,283,0.016427109017968178
213,283,0.021813564002513885
214,283,0.012113044038414955
215,283,0.0139133520424366
216,283,0.012219688855111599
217,283,0.016093239188194275
218,283,0.01290496252477169
219,283,0.018993139266967773
220,283,0.0011085369624197483
221,283,0.010914886370301247
222,283,0
223,283,0
224,283,0.01003064401447773
225,283,0.00014697801088914275
226,283,0.012342948466539383
227,283,0
228,283,0
229,283,0.0013534810859709978
230,283,0.002125868108123541
231,283,0
232,283,0
233,283,0
234,283,0.00873091071844101
235,283,0
236,283,0.003724949900060892
237,283,0
238,283,0
239,283,0
240,283,0
241,283,0
242,283,0
243,283,0
