x,y,value
261,346,0
262,346,0
263,346,0
264,346,0
265,346,0
266,346,0
267,346,0
268,346,0
269,346,0
270,346,0
271,346,0
272,346,0
273,346,0
274,346,0
275,346,0
276,346,0
277,346,0
278,346,0
279,346,0
261,347,0
262,347,0
263,347,0
264,347,0
265,347,0
266,347,0
267,347,0
268,347,0
269,347,0
270,347,0
271,347,0
272,347,0
273,347,0
274,347,0
275,347,0
276,347,0
277,347,0
278,347,0
279,347,0
261,348,0
262,348,0
263,348,0
264,348,0
265,348,0
266,348,0
267,348,0
268,348,0
269,348,0
270,348,0
271,348,0
272,348,0
273,348,0
274,348,0
275,348,0
276,348,0
277,348,0
278,348,0
279,348,0
261,349,0
262,349,0
263,349,0
264,349,0.05523568391799927
265,349,0.010785059072077274
266,349,0.02315261960029602
267,349,0.014468137174844742
268,349,0
269,349,0
270,349,0
271,349,0
272,349,0
273,349,0
274,349,0
275,349,0
276,349,0
277,349,0
278,349,0
279,349,0
261,350,0
262,350,0
263,350,0
264,350,0
265,350,0
266,350,0
267,350,0
268,350,0
269,350,0
270,350,0
271,350,0
272,350,0
273,350,0
274,350,0
275,350,0
276,350,0
277,350,0
278,350,0
279,350,0
261,351,0
262,351,0
263,351,0
264,351,0
265,351,0.00673876516520977
266,351,0
267,351,0
268,351,0
269,351,0
270,351,0
271,351,0
272,351,0
273,351,0
274,351,0
275,351,0
276,351,0
277,351,0
278,351,0
279,351,0
261,352,0
262,352,0
263,352,0
264,352,0
265,352,0
266,352,0
267,352,0
268,352,0
269,352,0
270,352,0
271,352,0
272,352,0
273,352,0
274,352,0
275,352,0
276,352,0
277,352,0
278,352,0
279,352,0
261,353,0
262,353,0
263,353,0
264,353,0
265,353,0
266,353,0
267,353,0
268,353,0
269,353,0
270,353,0
271,353,0
272,353,0
273,353,0
274,353,0
275,353,0
276,353,0
277,353,0
278,353,0
279,353,0
261,354,0
262,354,0
263,354,0
264,354,0
265,354,0
266,354,0
267,354,0
268,354,0
269,354,0
270,354,0
271,354,0
272,354,0
273,354,0
274,354,0
275,354,0
276,354,0
277,354,0
278,354,0
279,354,0
