x,y,value
160,305,0.04813842102885246
161,305,0.07162396609783173
162,305,0.017794562503695488
163,305,0.03289715200662613
164,305,0.030320370569825172
165,305,0.04733741655945778
166,305,0.026383090764284134
167,305,0.028851762413978577
168,305,0.02379966713488102
169,305,0.035193201154470444
170,305,0.04457509517669678
171,305,0.044127456843853
172,305,0.04135202243924141
173,305,0.04175644367933273
174,305,0.03554578498005867
175,305,0.055569127202034
176,305,0.0488646999001503
177,305,0.0327724814414978
178,305,0.029501134529709816
179,305,0.022556429728865623
180,305,0.046423282474279404
181,305,0.033495813608169556
182,305,0.033805474638938904
183,305,0.01990155316889286
184,305,0.019459709525108337
185,305,0.018912972882390022
186,305,0.013917909003794193
187,305,0.03529886156320572
188,305,0.02465200424194336
189,305,0.03703950718045235
190,305,0.029074644669890404
191,305,0.020257512107491493
192,305,0.02564910426735878
193,305,0.03484243154525757
194,305,0.031809475272893906
195,305,0.013968287967145443
196,305,0.00472802110016346
197,305,0.008243054151535034
198,305,0.016140718013048172
199,305,0.013881765305995941
200,305,0.02976357191801071
201,305,0.005072500091046095
202,305,0.029850706458091736
203,305,0.007319066673517227
204,305,0.022231535986065865
205,305,0.022298671305179596
206,305,0.009508147835731506
207,305,0.014765803702175617
208,305,0.02106761746108532
209,305,0.003702546004205942
210,305,0
211,305,0.013270258903503418
212,305,0.001774083124473691
213,305,0.015694981440901756
214,305,0.017728058621287346
215,305,0.0035701999440789223
216,305,0.01712997630238533
217,305,0
218,305,0.0015963362529873848
219,305,0
220,305,0.011817360296845436
221,305,0.015501419082283974
222,305,0
223,305,0.0035443014930933714
224,305,0
225,305,0
226,305,0.003870346350595355
227,305,0
228,305,0
160,306,0.07223516702651978
161,306,0.06315220892429352
162,306,0.0187742467969656
163,306,0.013632778078317642
164,306,0.03570975363254547
165,306,0.0529840923845768
166,306,0.048473235219717026
167,306,0.03344843536615372
168,306,0.03763001784682274
169,306,0.032246850430965424
170,306,0.04115685820579529
171,306,0.041674502193927765
172,306,0.03708124905824661
173,306,0.041338689625263214
174,306,0.05333617329597473
175,306,0.04842009395360947
176,306,0.07023840397596359
177,306,0.029113832861185074
178,306,0.033708661794662476
179,306,0.026213523000478745
180,306,0.021816834807395935
181,306,0.024855390191078186
182,306,0.029565315693616867
183,306,0.05067908763885498
184,306,0.02315034717321396
185,306,0.010978720150887966
186,306,0.00646314537152648
187,306,0.02531064860522747
188,306,0.045076921582221985
189,306,0.014379954896867275
190,306,0.030105216428637505
191,306,0.027295520529150963
192,306,0.01419820450246334
193,306,0.030586380511522293
194,306,0.02297479845583439
195,306,0.016845466569066048
