x,y,value
255,362,0
256,362,0
257,362,0
258,362,0
259,362,0
260,362,0
261,362,0
262,362,0
263,362,0
264,362,0
265,362,0
266,362,0
267,362,0
268,362,0
269,362,0
270,362,0
271,362,0
272,362,0
273,362,0
274,362,0
275,362,0
255,363,0
256,363,0
257,363,0
258,363,0
259,363,0
260,363,0
261,363,0
262,363,0
263,363,0
264,363,0
265,363,0
266,363,0
267,363,0
268,363,0
269,363,0
270,363,0
271,363,0
272,363,0
273,363,0
274,363,0
275,363,0
255,364,0
256,364,0
257,364,0
258,364,0
259,364,0
260,364,0
261,364,0
262,364,0
263,364,0
264,364,0
265,364,0
266,364,0
267,364,0
268,364,0
269,364,0
270,364,0
271,364,0
272,364,0
273,364,0
274,364,0
275,364,0
255,365,0
256,365,0
257,365,0
258,365,0
259,365,0
260,365,0
261,365,0
262,365,0
263,365,0
264,365,0
265,365,0
266,365,0
267,365,0
268,365,0
269,365,0
270,365,0
271,365,0
272,365,0
273,365,0
274,365,0
275,365,0
255,366,0
256,366,0
257,366,0
258,366,0
259,366,0
260,366,0
261,366,0
262,366,0
263,366,0
264,366,0
265,366,0
266,366,0
267,366,0
268,366,0
269,366,0
270,366,0
271,366,0
272,366,0
273,366,0
274,366,0
275,366,0
255,367,0
256,367,0
257,367,0
258,367,0
259,367,0
260,367,0
261,367,0
262,367,0
263,367,0
264,367,0
265,367,0
266,367,0
267,367,0
268,367,0
269,367,0
270,367,0
271,367,0
272,367,0
273,367,0
274,367,0
275,367,0
255,368,0
256,368,0
257,368,0
258,368,0
259,368,0
260,368,0
261,368,0
262,368,0
263,368,0
264,368,0
265,368,0
266,368,0
267,368,0
268,368,0
269,368,0
270,368,0
271,368,0
272,368,0
273,368,0
274,368,0
275,368,0
255,369,0
256,369,0
257,369,0
258,369,0
259,369,0
260,369,0
261,369,0
262,369,0
263,369,0
264,369,0
265,369,0
266,369,0
267,369,0
268,369,0
269,369,0
270,369,0
271,369,0
272,369,0
273,369,0
274,369,0
275,369,0
255,370,0
256,370,0
257,370,0
258,370,0
259,370,0
260,370,0
261,370,0
262,370,0
263,370,0
264,370,0
265,370,0
266,370,0
267,370,0
268,370,0
269,370,0
270,370,0
271,370,0
272,370,0
273,370,0
274,370,0
275,370,0
255,371,0
256,371,0
257,371,0
258,371,0
259,371,0
260,371,0
261,371,0
262,371,0
263,371,0
264,371,0
265,371,0
266,371,0
267,371,0
268,371,0
269,371,0
270,371,0
271,371,0
272,371,0
273,371,0
274,371,0
275,371,0
255,372,0
256,372,0
257,372,0
258,372,0
259,372,0
260,372,0
261,372,0
262,372,0
263,372,0
264,372,0
265,372,0
266,372,0
267,372,0
268,372,0
269,372,0
270,372,0
271,372,0
272,372,0
273,372,0
274,372,0
275,372,0
255,373,0
256,373,0
257,373,0
258,373,0
259,373,0
260,373,0
261,373,0
262,373,0
263,373,0
264,373,0
265,373,0
266,373,0
267,373,0
268,373,0
269,373,0
270,373,0
271,373,0
272,373,0
273,373,0
274,373,0.0023748306557536125
275,373,0
255,374,0
256,374,0
257,374,0
258,374,0
259,374,0
260,374,0
261,374,0
262,374,0
263,374,0
264,374,0
265,374,0
266,374,0
267,374,0
268,374,0
269,374,0
270,374,0
271,374,0
272,374,0
273,374,0
274,374,0
275,374,0
255,375,0
256,375,0
257,375,0
258,375,0
259,375,0
260,375,0
261,375,0
262,375,0
263,375,0
264,375,0
265,375,0
266,375,0
267,375,0
268,375,0
269,375,0
270,375,0
271,375,0
272,375,0
273,375,0
274,375,0
275,375,0
255,376,0
256,376,0
257,376,0
258,376,0
259,376,0
260,376,0
261,376,0
262,376,0
263,376,0
264,376,0.00852669682353735
265,376,0
266,376,0
267,376,0
268,376,0
269,376,0
270,376,0
271,376,0
272,376,0
273,376,0
274,376,0
275,376,0
255,377,0
256,377,0
257,377,0
258,377,0
259,377,0
260,377,0
261,377,0
262,377,0.01782114803791046
263,377,0
264,377,0
265,377,0
266,377,0
267,377,0
268,377,0
269,377,0
270,377,0
271,377,0
272,377,0
273,377,0
274,377,0
275,377,0
255,378,0
256,378,0
257,378,0
258,378,0
259,378,0
260,378,0
261,378,0.020005326718091965
262,378,0
263,378,0
264,378,0
265,378,0
266,378,0
267,378,0
268,378,0
269,378,0
270,378,0
271,378,0
272,378,0
273,378,0
274,378,0
275,378,0
255,379,0
256,379,0
257,379,0
258,379,0
259,379,0.02870321460068226
260,379,0
261,379,0
262,379,0
263,379,0
264,379,0
265,379,0
266,379,0
267,379,0
268,379,0
269,379,0
270,379,0
271,379,0
272,379,0
273,379,0
274,379,0
275,379,0
255,380,0
256,380,0
257,380,0.044606175273656845
258,380,0.02072807215154171
259,380,0
260,380,0
261,380,0
262,380,0
263,380,0
264,380,0
265,380,0
266,380,0
267,380,0
268,380,0
269,380,0
270,380,0
271,380,0
272,380,0
273,380,0
274,380,0
275,380,0
255,381,0.05801505595445633
256,381,0.01753898896276951
257,381,0
258,381,0
259,381,0
260,381,0
261,381,0
262,381,0
263,381,0
264,381,0
265,381,0
266,381,0
267,381,0
268,381,0
269,381,0
270,381,0
271,381,0
272,381,0
273,381,0
274,381,0
275,381,0
255,382,0
256,382,0
257,382,0
258,382,0
259,382,0
260,382,0
261,382,0
262,382,0
263,382,0
264,382,0
265,382,0
266,382,0
267,382,0
268,382,0
269,382,0
270,382,0
271,382,0
272,382,0.028561362996697426
273,382,0.010459079407155514
274,382,0
275,382,0
