x,y,value
696,1387,-9999
697,1387,0.5
698,1387,0.5
699,1387,0
700,1387,0
701,1387,0
702,1387,4.5
703,1387,4.5
704,1387,5.5
705,1387,4.5
706,1387,-9999
707,1387,-9999
708,1387,3.5
709,1387,2.5
710,1387,0.5
711,1387,0
712,1387,0
713,1387,0.5
714,1387,2.5
715,1387,2.5
716,1387,2.5
717,1387,2.5
718,1387,2.5
719,1387,-9999
720,1387,0.5
721,1387,0
722,1387,-9999
723,1387,-9999
724,1387,0
725,1387,0
726,1387,0
727,1387,2.5
728,1387,5.5
729,1387,2.5
730,1387,0
731,1387,0
732,1387,0
733,1387,0
734,1387,0.5
735,1387,-9999
736,1387,2.5
737,1387,2.5
738,1387,2.5
739,1387,3.5
740,1387,3.5
741,1387,0.5
742,1387,0
743,1387,0
744,1387,0.5
745,1387,2.5
746,1387,3.5
747,1387,4.5
748,1387,5.5
749,1387,3.5
750,1387,2.5
751,1387,-9999
752,1387,0
753,1387,-9999
754,1387,3.5
755,1387,3.5
756,1387,3.5
757,1387,0.5
758,1387,0
759,1387,0
760,1387,0
761,1387,2.5
762,1387,3.5
763,1387,2.5
764,1387,-9999
765,1387,0
766,1387,0
767,1387,0
768,1387,0.5
769,1387,-9999
770,1387,2.5
771,1387,2.5
772,1387,-9999
773,1387,-9999
774,1387,3.5
775,1387,0
776,1387,0
696,1388,0
697,1388,0
698,1388,0
699,1388,0
700,1388,0
701,1388,0
702,1388,0.5
703,1388,-9999
704,1388,2.5
705,1388,-9999
706,1388,0
707,1388,0
708,1388,0
709,1388,0.5
710,1388,0
711,1388,0.5
712,1388,0.5
713,1388,0.5
714,1388,2.5
715,1388,2.5
716,1388,2.5
717,1388,-9999
718,1388,-9999
719,1388,2.5
720,1388,2.5
721,1388,-9999
722,1388,2.5
723,1388,-9999
724,1388,0
725,1388,0
726,1388,0.5
727,1388,2.5
728,1388,3.5
729,1388,-9999
730,1388,0
731,1388,0
732,1388,0
733,1388,0
734,1388,0
735,1388,0.5
736,1388,0
737,1388,0
738,1388,0.5
739,1388,-9999
740,1388,-9999
741,1388,0.5
742,1388,0.5
743,1388,0.5
744,1388,-9999
745,1388,-9999
746,1388,-9999
747,1388,2.5
748,1388,3.5
749,1388,3.5
750,1388,3.5
751,1388,-9999
752,1388,0.5
753,1388,2.5
754,1388,3.5
755,1388,2.5
756,1388,0.5
757,1388,0
758,1388,0
759,1388,0
760,1388,0
761,1388,-9999
762,1388,2.5
763,1388,2.5
764,1388,2.5
765,1388,0
766,1388,0
767,1388,0
768,1388,0.5
769,1388,3.5
770,1388,4.5
771,1388,4.5
772,1388,5.5
773,1388,4.5
774,1388,0.5
775,1388,0
776,1388,0
696,1389,0
697,1389,0
698,1389,0
699,1389,0
700,1389,0
701,1389,0
702,1389,0
703,1389,0.5
704,1389,0.5
705,1389,0
706,1389,0
707,1389,0
708,1389,0
709,1389,0
710,1389,0.5
711,1389,0.5
712,1389,0.5
713,1389,-9999
714,1389,-9999
715,1389,-9999
716,1389,0.5
717,1389,0
718,1389,-9999
719,1389,3.5
720,1389,4.5
721,1389,3.5
722,1389,4.5
723,1389,-9999
724,1389,0
725,1389,0
726,1389,0
727,1389,-9999
728,1389,2.5
729,1389,0
730,1389,0
731,1389,0
732,1389,0.5
733,1389,0
734,1389,0
735,1389,0.5
736,1389,0
737,1389,0
738,1389,0
739,1389,0
740,1389,0
741,1389,-9999
742,1389,2.5
743,1389,2.5
744,1389,2.5
